accession,name,url,organism_name,infraspecific_name,asm_name
GCA_914521175.1,GCA_914521175.1 Phaeodactylum tricornutum Phaeodactylum tricornutum genome assembly v0.5,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/914/521/175/GCA_914521175.1_Phaeodactylum_tricornutum_genome_assembly_v0.5,Phaeodactylum tricornutum,na,Phaeodactylum tricornutum genome assembly v0.5
GCA_037954215.1,GCA_037954215.1 Phaeodactylum tricornutum ASM3795421v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/954/215/GCA_037954215.1_ASM3795421v1,Phaeodactylum tricornutum,na,ASM3795421v1
GCA_933822405.4,GCA_933822405.4 Cylindrotheca closterium Cyc-CA1.15-REFERENCE-ANNOTATED,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/933/822/405/GCA_933822405.4_Cyc-CA1.15-REFERENCE-ANNOTATED,Cylindrotheca closterium,na,Cyc-CA1.15-REFERENCE-ANNOTATED
GCA_036873775.1,GCA_036873775.1 Costaria costata ASM3687377v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/873/775/GCA_036873775.1_ASM3687377v1,Costaria costata,na,ASM3687377v1
GCA_037576205.1,GCA_037576205.1 Pyrocystis lunula ASM3757620v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/576/205/GCA_037576205.1_ASM3757620v1,Pyrocystis lunula,na,ASM3757620v1
GCA_032358265.1,GCA_032358265.1 Vaucheria bursata ASM3235826v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/358/265/GCA_032358265.1_ASM3235826v1,Vaucheria bursata,na,ASM3235826v1
GCA_949795465.1,GCA_949795465.1 Phytophthora capsici Phytophthora_capsici_Pc285.assembly_v1.0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/795/465/GCA_949795465.1_Phytophthora_capsici_Pc285.assembly_v1.0,Phytophthora capsici,na,Phytophthora_capsici_Pc285.assembly_v1.0
GCA_032161705.1,GCA_032161705.1 Phytophthora capsici ASM3216170v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/161/705/GCA_032161705.1_ASM3216170v1,Phytophthora capsici,na,ASM3216170v1
GCA_029168885.1,GCA_029168885.1 Phytophthora capsici strain=05-06 P.caps_01,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/168/885/GCA_029168885.1_P.caps_01,Phytophthora capsici,strain=05-06,P.caps_01
GCA_030324255.1,GCA_030324255.1 Phytophthora capsici ASM3032425v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/324/255/GCA_030324255.1_ASM3032425v1,Phytophthora capsici,na,ASM3032425v1
GCA_032158065.1,GCA_032158065.1 Phytophthora capsici ASM3215806v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/158/065/GCA_032158065.1_ASM3215806v1,Phytophthora capsici,na,ASM3215806v1
GCA_029747605.1,GCA_029747605.1 Phytophthora cinnamomi strain=VT-H3 Phytophthora_cinnamomi_reassembly_enz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/747/605/GCA_029747605.1_Phytophthora_cinnamomi_reassembly_enz,Phytophthora cinnamomi,strain=VT-H3,Phytophthora_cinnamomi_reassembly_enz
GCA_026225685.1,GCA_026225685.1 Phytophthora infestans strain=1306 Pinf1306_UCR_1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/225/685/GCA_026225685.1_Pinf1306_UCR_1,Phytophthora infestans,strain=1306,Pinf1306_UCR_1
GCA_031305395.1,GCA_031305395.1 Phytophthora citrophthora STE-U-9442,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/305/395/GCA_031305395.1_STE-U-9442,Phytophthora citrophthora,na,STE-U-9442
GCA_035080265.1,GCA_035080265.1 Phytophthora citrophthora ASM3508026v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/080/265/GCA_035080265.1_ASM3508026v1,Phytophthora citrophthora,na,ASM3508026v1
GCA_023336225.1,GCA_023336225.1 Pythium hydnosporum strain=CBS 253.60 ASM2333622v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/336/225/GCA_023336225.1_ASM2333622v1,Pythium hydnosporum,strain=CBS 253.60,ASM2333622v1
GCA_023334615.1,GCA_023334615.1 Pythium torulosum strain=CBS 316.33 ASM2333461v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/334/615/GCA_023334615.1_ASM2333461v1,Pythium torulosum,strain=CBS 316.33,ASM2333461v1
GCA_027925865.1,GCA_027925865.1 Lagenidium giganteum strain=ARSEF 373 Lag_gig_ARSEF373_Annot,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/925/865/GCA_027925865.1_Lag_gig_ARSEF373_Annot,Lagenidium giganteum,strain=ARSEF 373,Lag_gig_ARSEF373_Annot
GCA_025688915.1,GCA_025688915.1 Leishmania amazonensis strain=PH8 ASM2568891v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/688/915/GCA_025688915.1_ASM2568891v1,Leishmania amazonensis,strain=PH8,ASM2568891v1
GCA_030937385.1,GCA_030937385.1 Leishmania amazonensis OSU_LamaLV79,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/937/385/GCA_030937385.1_OSU_LamaLV79,Leishmania amazonensis,na,OSU_LamaLV79
GCA_024505685.1,GCA_024505685.1 Leishmania braziliensis strain=BA788 BA788,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/505/685/GCA_024505685.1_BA788,Leishmania braziliensis,strain=BA788,BA788
GCA_963920605.1,GCA_963920605.1 Leishmania donovani Parent1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/920/605/GCA_963920605.1_Parent1,Leishmania donovani,na,Parent1
GCA_024970365.1,GCA_024970365.1 Leishmania guyanensis strain=M4147 ASM2497036v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/970/365/GCA_024970365.1_ASM2497036v1,Leishmania guyanensis,strain=M4147,ASM2497036v1
GCA_022701395.1,GCA_022701395.1 Leishmania guyanensis ASM2270139v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/701/395/GCA_022701395.1_ASM2270139v1,Leishmania guyanensis,na,ASM2270139v1
GCA_037177885.1,GCA_037177885.1 Leishmania infantum strain=LCAN/ES/2023/CATB108 ASM3717788v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/885/GCA_037177885.1_ASM3717788v1,Leishmania infantum,strain=LCAN/ES/2023/CATB108,ASM3717788v1
GCA_037177985.1,GCA_037177985.1 Leishmania infantum strain=N1HROMA4 ASM3717798v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/177/985/GCA_037177985.1_ASM3717798v1,Leishmania infantum,strain=N1HROMA4,ASM3717798v1
GCA_037178225.1,GCA_037178225.1 Leishmania infantum strain=MCAN/IT/2011/8283 ASM3717822v1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/178/225/GCA_037178225.1_ASM3717822v1,Leishmania infantum,strain=MCAN/IT/2011/8283,ASM3717822v1
